nohup: ignoring input
0.3.1
Starting training
epoch: 1
[epoch:001, iter:00251] Loss: 1.655 | Acc: 38.450% | time: 80.63s 
[epoch:001, iter:00252] Loss: 1.653 | Acc: 38.513% | time: 80.95s 
[epoch:001, iter:00253] Loss: 1.652 | Acc: 38.535% | time: 81.26s 
[epoch:001, iter:00254] Loss: 1.651 | Acc: 38.581% | time: 81.58s 
[epoch:001, iter:00255] Loss: 1.650 | Acc: 38.632% | time: 81.89s 
[epoch:001, iter:00256] Loss: 1.649 | Acc: 38.678% | time: 82.20s 
[epoch:001, iter:00257] Loss: 1.648 | Acc: 38.738% | time: 82.51s 
[epoch:001, iter:00258] Loss: 1.647 | Acc: 38.792% | time: 82.82s 
[epoch:001, iter:00259] Loss: 1.646 | Acc: 38.823% | time: 83.13s 
[epoch:001, iter:00260] Loss: 1.645 | Acc: 38.860% | time: 83.44s 
[epoch:001, iter:00261] Loss: 1.644 | Acc: 38.862% | time: 83.59s 
epoch 001, used time total: 83.62
epoch: 2
[epoch:002, iter:00262] Loss: 1.382 | Acc: 48.438% | time: 0.98s 
[epoch:002, iter:00263] Loss: 1.301 | Acc: 52.083% | time: 1.30s 
[epoch:002, iter:00264] Loss: 1.273 | Acc: 53.299% | time: 1.62s 
[epoch:002, iter:00265] Loss: 1.320 | Acc: 50.911% | time: 1.94s 
[epoch:002, iter:00266] Loss: 1.326 | Acc: 50.521% | time: 2.26s 
[epoch:002, iter:00267] Loss: 1.308 | Acc: 51.389% | time: 2.58s 
[epoch:002, iter:00268] Loss: 1.306 | Acc: 51.711% | time: 2.89s 
[epoch:002, iter:00269] Loss: 1.302 | Acc: 52.669% | time: 3.21s 
[epoch:002, iter:00270] Loss: 1.295 | Acc: 53.009% | time: 3.53s 
[epoch:002, iter:00271] Loss: 1.293 | Acc: 52.917% | time: 3.85s 
[epoch:002, iter:00272] Loss: 1.310 | Acc: 52.557% | time: 4.17s 
[epoch:002, iter:00273] Loss: 1.316 | Acc: 52.517% | time: 4.48s 
[epoch:002, iter:00274] Loss: 1.325 | Acc: 51.843% | time: 4.80s 
