nohup: ignoring input
0.3.1
Starting training
epoch: 1
[epoch:001, iter:00241] Loss: 1.893 | Acc: 30.466% | time: 29.22s 
[epoch:001, iter:00242] Loss: 1.891 | Acc: 30.520% | time: 29.33s 
[epoch:001, iter:00243] Loss: 1.890 | Acc: 30.536% | time: 29.45s 
[epoch:001, iter:00244] Loss: 1.890 | Acc: 30.552% | time: 29.56s 
[epoch:001, iter:00245] Loss: 1.890 | Acc: 30.523% | time: 29.68s 
[epoch:001, iter:00246] Loss: 1.890 | Acc: 30.539% | time: 29.79s 
[epoch:001, iter:00247] Loss: 1.889 | Acc: 30.579% | time: 29.91s 
[epoch:001, iter:00248] Loss: 1.887 | Acc: 30.620% | time: 30.02s 
[epoch:001, iter:00249] Loss: 1.885 | Acc: 30.698% | time: 30.14s 
[epoch:001, iter:00250] Loss: 1.885 | Acc: 30.719% | time: 30.26s 
[epoch:001, iter:00251] Loss: 1.884 | Acc: 30.758% | time: 30.37s 
[epoch:001, iter:00252] Loss: 1.883 | Acc: 30.797% | time: 30.49s 
[epoch:001, iter:00253] Loss: 1.881 | Acc: 30.855% | time: 30.60s 
[epoch:001, iter:00254] Loss: 1.880 | Acc: 30.862% | time: 30.72s 
[epoch:001, iter:00255] Loss: 1.881 | Acc: 30.870% | time: 30.83s 
[epoch:001, iter:00256] Loss: 1.880 | Acc: 30.890% | time: 30.95s 
[epoch:001, iter:00257] Loss: 1.880 | Acc: 30.867% | time: 31.06s 
[epoch:001, iter:00258] Loss: 1.878 | Acc: 30.935% | time: 31.18s 
[epoch:001, iter:00259] Loss: 1.878 | Acc: 30.966% | time: 31.30s 
[epoch:001, iter:00260] Loss: 1.877 | Acc: 30.998% | time: 31.41s 
[epoch:001, iter:00261] Loss: 1.877 | Acc: 30.999% | time: 31.53s 
[epoch:001, iter:00262] Loss: 1.876 | Acc: 31.065% | time: 31.64s 
[epoch:001, iter:00263] Loss: 1.874 | Acc: 31.131% | time: 31.76s 
[epoch:001, iter:00264] Loss: 1.872 | Acc: 31.220% | time: 31.87s 
[epoch:001, iter:00265] Loss: 1.871 | Acc: 31.279% | time: 31.99s 
[epoch:001, iter:00266] Loss: 1.870 | Acc: 31.338% | time: 32.11s 
[epoch:001, iter:00267] Loss: 1.868 | Acc: 31.396% | time: 32.23s 
[epoch:001, iter:00268] Loss: 1.867 | Acc: 31.442% | time: 32.34s 
[epoch:001, iter:00269] Loss: 1.866 | Acc: 31.488% | time: 32.46s 
[epoch:001, iter:00270] Loss: 1.866 | Acc: 31.528% | time: 32.57s 
[epoch:001, iter:00271] Loss: 1.865 | Acc: 31.567% | time: 32.69s 
[epoch:001, iter:00272] Loss: 1.863 | Acc: 31.646% | time: 32.80s 
[epoch:001, iter:00273] Loss: 1.862 | Acc: 31.679% | time: 32.92s 
[epoch:001, iter:00274] Loss: 1.861 | Acc: 31.729% | time: 33.03s 
[epoch:001, iter:00275] Loss: 1.860 | Acc: 31.756% | time: 33.15s 
[epoch:001, iter:00276] Loss: 1.859 | Acc: 31.793% | time: 33.27s 
[epoch:001, iter:00277] Loss: 1.857 | Acc: 31.865% | time: 33.38s 
[epoch:001, iter:00278] Loss: 1.857 | Acc: 31.868% | time: 33.50s 
[epoch:001, iter:00279] Loss: 1.855 | Acc: 31.939% | time: 33.62s 
[epoch:001, iter:00280] Loss: 1.855 | Acc: 31.942% | time: 33.73s 
[epoch:001, iter:00281] Loss: 1.854 | Acc: 31.973% | time: 33.85s 
[epoch:001, iter:00282] Loss: 1.852 | Acc: 32.031% | time: 33.96s 
[epoch:001, iter:00283] Loss: 1.852 | Acc: 32.051% | time: 34.08s 
[epoch:001, iter:00284] Loss: 1.851 | Acc: 32.130% | time: 34.19s 
[epoch:001, iter:00285] Loss: 1.851 | Acc: 32.138% | time: 34.31s 
[epoch:001, iter:00286] Loss: 1.850 | Acc: 32.173% | time: 34.43s 
[epoch:001, iter:00287] Loss: 1.849 | Acc: 32.170% | time: 34.54s 
[epoch:001, iter:00288] Loss: 1.848 | Acc: 32.210% | time: 34.66s 
[epoch:001, iter:00289] Loss: 1.848 | Acc: 32.234% | time: 34.77s 
[epoch:001, iter:00290] Loss: 1.848 | Acc: 32.225% | time: 34.89s 
[epoch:001, iter:00291] Loss: 1.847 | Acc: 32.243% | time: 35.00s 
[epoch:001, iter:00292] Loss: 1.846 | Acc: 32.267% | time: 35.12s 
[epoch:001, iter:00293] Loss: 1.846 | Acc: 32.279% | time: 35.23s 
[epoch:001, iter:00294] Loss: 1.845 | Acc: 32.292% | time: 35.35s 
[epoch:001, iter:00295] Loss: 1.845 | Acc: 32.288% | time: 35.47s 
[epoch:001, iter:00296] Loss: 1.846 | Acc: 32.279% | time: 35.58s 
[epoch:001, iter:00297] Loss: 1.845 | Acc: 32.302% | time: 35.70s 
[epoch:001, iter:00298] Loss: 1.844 | Acc: 32.304% | time: 35.81s 
[epoch:001, iter:00299] Loss: 1.844 | Acc: 32.316% | time: 35.93s 
[epoch:001, iter:00300] Loss: 1.842 | Acc: 32.359% | time: 36.04s 
[epoch:001, iter:00301] Loss: 1.842 | Acc: 32.376% | time: 36.16s 
[epoch:001, iter:00302] Loss: 1.841 | Acc: 32.409% | time: 36.28s 
[epoch:001, iter:00303] Loss: 1.841 | Acc: 32.436% | time: 36.39s 
[epoch:001, iter:00304] Loss: 1.841 | Acc: 32.422% | time: 36.51s 
[epoch:001, iter:00305] Loss: 1.840 | Acc: 32.449% | time: 36.62s 
[epoch:001, iter:00306] Loss: 1.840 | Acc: 32.455% | time: 36.74s 
[epoch:001, iter:00307] Loss: 1.839 | Acc: 32.471% | time: 36.86s 
[epoch:001, iter:00308] Loss: 1.838 | Acc: 32.493% | time: 36.97s 
[epoch:001, iter:00309] Loss: 1.838 | Acc: 32.519% | time: 37.09s 
[epoch:001, iter:00310] Loss: 1.838 | Acc: 32.520% | time: 37.20s 
